SN,Quali,wsb,cm,effe,will,DM,CPL,Sati,DSWP,Nos,How_often,Separately,Training,Who,Engagement,Responsible
60,Masters/ PhD,Always,Not motivated,Not effective,Highly willing,No,Good,Less satisfied,500-1000 gm,1-4 members,2 times per week,No,No, ,Often,Municipality
61,Bachelor,Very often,Not motivated,Not effective,Highly willing,No,Satisfactory,Less satisfied,Less than 500 gm,1-4 members,2 times per week,No,No, ,Very often,NGO/CBOs
62,Bachelor,Occasionally,Highly motivated,Effective,Willing,No,Satisfactory,Not satisfied,500-1000 gm,1-4 members,2 times per week,No,No, ,Occassionly,Municipality
63,Inter/+2,Often,Somehow motivated,Less effective,Somewhat willing,No,Not good,Less satisfied,500-1000 gm,1-4 members,2 times per week,No,No, ,Often,Municipality
64,Masters/ PhD,Very often,Less motivated,Less effective,Highly willing,No,Not good,Somehow satisfied,1000-1500 gm,5-8 members,Once a week,No,No, ,Very often,Municipality
65,Inter/+2,Often,Motivated,Somehow effective,Less willing,No,Satisfactory,Less satisfied,500-1000 gm,1-4 members,2 times per week,No,No, ,Often,Municipality
66,Below SLC/SEE,Often,Motivated,Somehow effective,Not willing,Occassionally,Satisfactory,Somehow satisfied,Less than 500 gm,1-4 members,2 times per week,No,No, ,Very often,Municipality
67,Masters/ PhD,Very often,Less motivated,Somehow effective,Highly willing,No,Satisfactory,Less satisfied,1000-1500 gm,5-8 members,2 times per week,No,No, ,Always,Municipality
68,Masters/ PhD,Very often,Less motivated,Somehow effective,Highly willing,No,Good,Not satisfied,1000-1500 gm,5-8 members,2 times per week,Don't know,No, ,Very often,Municipality
69,Masters/ PhD,Very often,Less motivated,Less effective,Highly willing,No,Satisfactory,Somehow satisfied,500-1000 gm,1-4 members,2 times per week,No,Yes,NGO/CBOs,Often,Municipality
70,Masters/ PhD,Very often,Motivated,Effective,Willing,No,Not good,Less satisfied,1000-1500 gm,5-8 members,2 times per week,No,No, ,Very often,Municipality
71,Bachelor,Often,Somehow motivated,Less effective,Willing,No,Satisfactory,Less satisfied,More than 2000 gm,More than 8 members,2 times per week,No,No, ,Often,Municipality
72,Masters/ PhD,Very often,Less motivated,Somehow effective,Highly willing,No,Satisfactory,Not satisfied,500-1000 gm,1-4 members,Once a week,No,No, ,Often,Municipality
73,Masters/ PhD,Very often,Somehow motivated,Less effective,Highly willing,No,Not good,Less satisfied,1000-1500 gm,5-8 members,2 times per week,No,No, ,Very often,NGO/CBOs
74,Masters/ PhD,Very often,Less motivated,Somehow effective,Highly willing,No,Satisfactory,Somehow satisfied,Less than 500 gm,1-4 members,2 times per week,No,No, ,Always,Municipality
75,Inter/+2,Often,Less motivated,Not effective,Less willing,No,Not good,Less satisfied,1500-2000 gm,More than 8 members,2 times per week,No,No, ,Very often,Municipality
76,Masters/ PhD,Always,Not motivated,Less effective,Highly willing,No,Not good,Somehow satisfied,500-1000 gm,1-4 members,2 times per week,No,No, ,Always,Municipality
77,Below SLC/SEE,Occasionally,Motivated,Somehow effective,Highly willing,Occassionally,Not good,Less satisfied,Less than 500 gm,1-4 members,More than a week,Don't know,No, ,Very often,Municipality
78,Masters/ PhD,Very often,Less motivated,Less effective,Highly willing,No,Satisfactory,Somehow satisfied,Less than 500 gm,1-4 members,2 times per week,No,No, ,Often,Home owner
79,Masters/ PhD,Very often,Less motivated,Not effective,Highly willing,No,Satisfactory,Less satisfied,1000-1500 gm,5-8 members,2 times per week,No,No, ,Very often,Municipality
80,Bachelor,Often,Less motivated,Somehow effective,Willing,No,Satisfactory,Less satisfied,1000-1500 gm,1-4 members,2 times per week,No,No, ,Often,Municipality
81,Masters/ PhD,Very often,Somehow motivated,Less effective,Willing,No,Good,Not satisfied,500-1000 gm,1-4 members,2 times per week,No,No, ,Occassionly,Municipality
82,Masters/ PhD,Always,Somehow motivated,Somehow effective,Willing,No,Satisfactory,Somehow satisfied,1500-2000 gm,5-8 members,2 times per week,No,No, ,Often,Municipality
83,Masters/ PhD,Always,Less motivated,Less effective,Highly willing,No,Satisfactory,Less satisfied,500-1000 gm,1-4 members,2 times per week,No,No, ,Very often,Municipality
84,Inter/+2,Often,Somehow motivated,Somehow effective,Somewhat willing,No,Not good,Somehow satisfied,1000-1500 gm,5-8 members,2 times per week,No,No, ,Always,Municipality
85,Masters/ PhD,Very often,Less motivated,Less effective,Highly willing,No,Not good,Somehow satisfied,1000-1500 gm,5-8 members,2 times per week,No,No, ,Very often,NGO/CBOs
86,Below SLC/SEE,Often,Less motivated,Less effective,Less willing,No,Not good,Less satisfied,1000-1500 gm,5-8 members,2 times per week,No,No, ,Very often,Municipality
87,SLC/SEE,Occasionally,Motivated,Effective,Highly willing,No,Satisfactory,Less satisfied,500-1000 gm,1-4 members,Once a week,No,No, ,Very often,Municipality
88,Inter/+2,Very often,Somehow motivated,Less effective,Less willing,No,Not good,Not satisfied,500-1000 gm,1-4 members,2 times per week,No,No, ,Often,Municipality
89,Masters/ PhD,Always,Less motivated,Less effective,Highly willing,No,Satisfactory,Less satisfied,Less than 500 gm,1-4 members,2 times per week,No,No, ,Occassionly,Municipality
90,Masters/ PhD,Always,Not motivated,Less effective,Highly willing,No,Not good,Less satisfied,500-1000 gm,1-4 members,2 times per week,No,No, ,Very often,Municipality
91,Masters/ PhD,Very often,Less motivated,Somehow effective,Highly willing,No,Satisfactory,Less satisfied,More than 2000 gm,More than 8 members,2 times per week,Don't know,No, ,Very often,Municipality
92,Bachelor,Often,Less motivated,Somehow effective,Highly willing,No,Good,Somehow satisfied,Less than 500 gm,1-4 members,2 times per week,No,No, ,Often,Municipality
93,Masters/ PhD,Very often,Less motivated,Less effective,Highly willing,No,Satisfactory,Less satisfied,500-1000 gm,1-4 members,2 times per week,No,Yes,Community,Often,NGO/CBOs
94,SLC/SEE,No,Highly motivated,Effective,Somewhat willing,Occassionally,Satisfactory,Somehow satisfied,1500-2000 gm,5-8 members,Once a week,No,No, ,Very often,Municipality
95,Masters/ PhD,Very often,Less motivated,Less effective,Highly willing,No,Good,Less satisfied,1000-1500 gm,5-8 members,2 times per week,No,No, ,Often,Municipality
96,Masters/ PhD,Very often,Less motivated,Less effective,Highly willing,No,Satisfactory,Not satisfied,500-1000 gm,1-4 members,2 times per week,No,No, ,Always,Municipality
97,Bachelor,Often,Somehow motivated,Somehow effective,Willing,No,Not good,Less satisfied,500-1000 gm,1-4 members,2 times per week,No,No, ,Often,Municipality
98,Masters/ PhD,Very often,Somehow motivated,Somehow effective,Highly willing,No,Satisfactory,Less satisfied,1000-1500 gm,5-8 members,2 times per week,No,No, ,Very often,Municipality
99,Bachelor,Very often,Less motivated,Somehow effective,Willing,No,Not good,Somehow satisfied,Less than 500 gm,1-4 members,2 times per week,No,No, ,Often,Municipality
100,Masters/ PhD,Always,Not motivated,Less effective,Highly willing,No,Satisfactory,Less satisfied,500-1000 gm,1-4 members,2 times per week,No,No, ,Very often,Municipality
101,Masters/ PhD,Very often,Less motivated,Not effective,Highly willing,No,Not good,Less satisfied,500-1000 gm,1-4 members,2 times per week,No,No, ,Very often,Home owner
102,Masters/ PhD,Always,Less motivated,Less effective,Highly willing,No,Satisfactory,Less satisfied,500-1000 gm,1-4 members,Once a week,No,No, ,Occassionly,Municipality
103,Inter/+2,Often,Less motivated,Less effective,Less willing,No,Good,Less satisfied,Less than 500 gm,1-4 members,2 times per week,Don't know,No, ,Very often,Municipality
104,Inter/+2,Occasionally,Motivated,Somehow effective,Less willing,Occassionally,Good,Somehow satisfied,Less than 500 gm,1-4 members,2 times per week,No,No, ,Often,Municipality
105,Below SLC/SEE,Often,Less motivated,Less effective,Not willing,No,Good,Less satisfied,1000-1500 gm,5-8 members,2 times per week,No,No, ,Very often,Municipality
106,Masters/ PhD,Very often,Less motivated,Somehow effective,Highly willing,No,Satisfactory,Less satisfied,1000-1500 gm,5-8 members,2 times per week,No,No, ,Very often,NGO/CBOs
107,Below SLC/SEE,Often,Less motivated,Somehow effective,Willing,No,Satisfactory,Less satisfied,500-1000 gm,1-4 members,2 times per week,No,No, ,Often,Municipality
108,Masters/ PhD,Very often,Not motivated,Less effective,Highly willing,No,Not good,Not satisfied,500-1000 gm,1-4 members,2 times per week,No,Yes,NGO/CBOs,Often,Municipality
109,Bachelor,Very often,Less motivated,Less effective,Willing,No,Not good,Somehow satisfied,Less than 500 gm,1-4 members,2 times per week,No,No, ,Always,Municipality
110,Masters/ PhD,Very often,Not motivated,Not effective,Highly willing,No,Satisfactory,Less satisfied,500-1000 gm,1-4 members,2 times per week,No,No, ,Often,Municipality
111,Masters/ PhD,Very often,Less motivated,Less effective,Highly willing,No,Good,Somehow satisfied,1500-2000 gm,5-8 members,2 times per week,No,No, ,Very often,Municipality
112,Masters/ PhD,Very often,Somehow motivated,Somehow effective,Willing,No,Good,Less satisfied,500-1000 gm,1-4 members,2 times per week,No,No, ,Always,Municipality
113,Masters/ PhD,Very often,Somehow motivated,Less effective,Highly willing,No,Good,Less satisfied,1000-1500 gm,5-8 members,2 times per week,No,No, ,Very often,Municipality
114,Bachelor,Often,Somehow motivated,Less effective,Somewhat willing,No,Satisfactory,Less satisfied,500-1000 gm,1-4 members,Once a week,No,No, ,Very often,Municipality
115,SLC/SEE,Very often,Less motivated,Not effective,Less willing,No,Good,Somehow satisfied,Less than 500 gm,1-4 members,2 times per week,No,No, ,Very often,Municipality
116,Masters/ PhD,Always,Less motivated,Less effective,Highly willing,No,Satisfactory,Less satisfied,500-1000 gm,1-4 members,2 times per week,No,No, ,Often,NGO/CBOs
117,Masters/ PhD,Always,Not motivated,Less effective,Highly willing,No,Not good,Not satisfied,1000-1500 gm,5-8 members,2 times per week,No,No, ,Very often,Municipality
118,Inter/+2,Often,Less motivated,Less effective,Somewhat willing,No,Not good,Less satisfied,500-1000 gm,1-4 members,2 times per week,Don't know,No, ,Often,Municipality
119,Below SLC/SEE,Occasionally,Motivated,Effective,Not willing,Occassionally,Good,Less satisfied,More than 2000 gm,More than 8 members,2 times per week,No,No, ,Often,Municipality
120,Below SLC/SEE,Very often,Less motivated,Less effective,Less willing,No,Satisfactory,Less satisfied,Less than 500 gm,1-4 members,Once a week,No,No, ,Very often,Municipality
121,Masters/ PhD,Always,Not motivated,Somehow effective,Highly willing,No,Satisfactory,Somehow satisfied,500-1000 gm,1-4 members,2 times per week,No,No, ,Often,Municipality
122,Masters/ PhD,Very often,Less motivated,Less effective,Willing,No,Good,Less satisfied,1000-1500 gm,5-8 members,2 times per week,No,No, ,Always,Municipality
123,Bachelor,Often,Less motivated,Less effective,Highly willing,No,Good,Less satisfied,500-1000 gm,1-4 members,2 times per week,No,No, ,Very often,Municipality
124,Bachelor,Occasionally,Highly motivated,Effective,Somewhat willing,Occassionally,Satisfactory,Not satisfied,500-1000 gm,5-8 members,2 times per week,No,No, ,Often,Municipality
125,Bachelor,Often,Less motivated,Less effective,Somewhat willing,No,Satisfactory,Somehow satisfied,Less than 500 gm,1-4 members,2 times per week,No,No, ,Very often,Municipality
126,Masters/ PhD,Always,Less motivated,Less effective,Highly willing,No,Not good,Not satisfied,1500-2000 gm,5-8 members,2 times per week,No,No, ,Very often,Municipality
127,Masters/ PhD,Very often,Somehow motivated,Somehow effective,Willing,No,Not good,Somehow satisfied,1000-1500 gm,5-8 members,2 times per week,No,No, ,Always,Municipality
128,Inter/+2,Often,Motivated,Effective,Highly willing,No,Satisfactory,Less satisfied,More than 2000 gm,More than 8 members,2 times per week,Don't know,No, ,Often,Home owner
129,Masters/ PhD,Always,Not motivated,Less effective,Highly willing,No,Not good,Somehow satisfied,Less than 500 gm,1-4 members,Once a week,No,No, ,Very often,Municipality
130,Masters/ PhD,Very often,Less motivated,Less effective,Highly willing,No,Satisfactory,Less satisfied,1000-1500 gm,5-8 members,2 times per week,No,No, ,Often,Municipality
131,Bachelor,Very often,Less motivated,Somehow effective,Willing,No,Satisfactory,Less satisfied,1000-1500 gm,5-8 members,2 times per week,No,No, ,Very often,Municipality
132,Masters/ PhD,Very often,Somehow motivated,Somehow effective,Willing,No,Not good,Less satisfied,500-1000 gm,1-4 members,2 times per week,No,No, ,Often,Municipality
133,Masters/ PhD,Very often,Less motivated,Less effective,Highly willing,No,Satisfactory,Not satisfied,1000-1500 gm,5-8 members,2 times per week,No,No, ,Often,Municipality
134,Below SLC/SEE,Often,Somehow motivated,Somehow effective,Less willing,No,Satisfactory,Less satisfied,500-1000 gm,1-4 members,2 times per week,No,No, ,Very often,Municipality
135,Masters/ PhD,Always,Less motivated,Less effective,Highly willing,No,Not good,Less satisfied,1500-2000 gm,More than 8 members,2 times per week,No,No, ,Often,Municipality
136,Bachelor,Often,Less motivated,Less effective,Willing,No,Not good,Somehow satisfied,Less than 500 gm,1-4 members,2 times per week,No,No, ,Very often,NGO/CBOs
137,Masters/ PhD,Very often,Somehow motivated,Somehow effective,Willing,No,Satisfactory,Less satisfied,1500-2000 gm,5-8 members,More than a week,No,No, ,Very often,Municipality
138,SLC/SEE,No,Highly motivated,Effective,Willing,Occassionally,Satisfactory,Somehow satisfied,500-1000 gm,1-4 members,2 times per week,No,No, ,Always,Municipality
139,Masters/ PhD,Very often,Less motivated,Less effective,Highly willing,No,Not good,Less satisfied,1000-1500 gm,5-8 members,2 times per week,No,Yes,NGO/CBOs,Very often,Municipality
140,Inter/+2,Often,Motivated,Somehow effective,Somewhat willing,No,Not good,Less satisfied,500-1000 gm,1-4 members,2 times per week,No,No, ,Very often,Municipality
141,Inter/+2,Occasionally,Somehow motivated,Less effective,Less willing,No,Satisfactory,Somehow satisfied,More than 2000 gm,More than 8 members,2 times per week,No,No, ,Often,Municipality
142,Masters/ PhD,Very often,Less motivated,Less effective,Highly willing,No,Not good,Less satisfied,500-1000 gm,1-4 members,2 times per week,No,No, ,Very often,Municipality
143,Bachelor,Often,Less motivated,Not effective,Willing,No,Satisfactory,Less satisfied,500-1000 gm,1-4 members,2 times per week,No,No, ,Always,NGO/CBOs
144,Masters/ PhD,Always,Less motivated,Less effective,Highly willing,No,Not good,Somehow satisfied,Less than 500 gm,1-4 members,Once a week,Don't know,No, ,Very often,Municipality
145,Masters/ PhD,Always,Less motivated,Somehow effective,Highly willing,No,Satisfactory,Less satisfied,500-1000 gm,5-8 members,2 times per week,No,No, ,Often,Municipality
146,Bachelor,Very often,Not motivated,Less effective,Willing,No,Good,Less satisfied,500-1000 gm,1-4 members,2 times per week,No,No, ,Often,Municipality
147,Masters/ PhD,Always,Not motivated,Less effective,Highly willing,No,Satisfactory,Not satisfied,500-1000 gm,1-4 members,2 times per week,No,No, ,Very often,Municipality
148,Inter/+2,Often,Less motivated,Somehow effective,Somewhat willing,No,Satisfactory,Less satisfied,1000-1500 gm,5-8 members,2 times per week,No,No, ,Always,Municipality
149,SLC/SEE,Occasionally,Motivated,Effective,Highly willing,Occassionally,Not good,Less satisfied,1000-1500 gm,5-8 members,2 times per week,No,No, ,Very often,Municipality
150,Below SLC/SEE,Often,Less motivated,Less effective,Highly willing,No,Not good,Not satisfied,500-1000 gm,1-4 members,2 times per week,No,No, ,Often,Municipality
 ,Masters/ PhD,Very often,Less motivated,Less effective,Willing,No,Not good,Less satisfied,More than 2000 gm,More than 8 members,2 times per week,Don't know,No, ,Very often,Municipality
 ,Inter/+2,No,Highly motivated,Effective,Less willing,Occassionally,Satisfactory,Less satisfied,Less than 500 gm,1-4 members,Once a week,No,No, ,Often,Municipality
 ,Below SLC/SEE,Very often,Somehow motivated,Somehow effective,Somewhat willing,No,Good,Somehow satisfied,500-1000 gm,1-4 members,2 times per week,No,No, ,Often,NGO/CBOs
 ,Masters/ PhD,Always,Less motivated,Less effective,Highly willing,No,Good,Less satisfied,1500-2000 gm,5-8 members,2 times per week,No,No, ,Very often,Municipality
 ,Masters/ PhD,Always,Not motivated,Not effective,Highly willing,No,Good,Not satisfied,1000-1500 gm,5-8 members,2 times per week,No,No, ,Often,Municipality
 ,Bachelor,Occasionally,Somehow motivated,Somehow effective,Somewhat willing,Occassionally,Satisfactory,Less satisfied,More than 2000 gm,More than 8 members,2 times per week,No,No, ,Very often,Municipality
 ,Masters/ PhD,Always,Less motivated,Somehow effective,Highly willing,No,Good,Less satisfied,500-1000 gm,1-4 members,2 times per week,No,No, ,Always,Municipality
 ,Bachelor,Very often,Not motivated,Not effective,Willing,No,Good,Somehow satisfied,Less than 500 gm,1-4 members,2 times per week,Don't know,No, ,Often,Municipality
